brand,desc,disc_price,actual_price,image_url
Greciilooks,Women's Z-Card Cotton Silk Foil Print Saree with Belt,409,1499,https://m.media-amazon.com/images/I/6182IHQtJ2L._AC_UL320_.jpg
SOURBH,Women's Cotton Blend Saree With Unstiched Blouse Piece,439,1999,https://m.media-amazon.com/images/I/81dPJnoDrUL._AC_UL320_.jpg
NILKANTH EXCLUSIVE,Georgette Saree daily wear plain lace border saree with Banglori Silk Blouse(dark green),499,999,https://m.media-amazon.com/images/I/81cVgUHe0UL._AC_UL320_.jpg
Satrani,Women's Floral Printed Silk Crape Saree with Blouse Piece (2014ST388_Grey),849,3122,https://m.media-amazon.com/images/I/71LMfbGFokL._AC_UL320_.jpg
Venisa,Women's Linen Cotton Saree,584,1849,https://m.media-amazon.com/images/I/81Sv1LWBvvL._AC_UL320_.jpg
ANNI DESIGNER,Raniyal Georgette Saree with Blouse Piece (Black Gerog_Black_Free Size),299,2499,https://m.media-amazon.com/images/I/61oUlL8iD2L._AC_UL320_.jpg
Lovender Fashion,Women's Hot New Releases Sarees for Women Latest Design Party Wear New Collection 2021 Saree below 500 Rupees Saree (Free Size_Yellow-Red),499,1599,https://m.media-amazon.com/images/I/61NMKWPTbbL._AC_UL320_.jpg
Clothfab,Women's Hot New Releases Sarees for Women Latest Design Party Wear New Collection 2021 Sarees below 500 Rupees Sarees (Free Size_Yellow),499,1799,https://m.media-amazon.com/images/I/61j73CmeYiL._AC_UL320_.jpg
N T EXPORTS,Women's Kanchipuram Silk Blend Saree With Blouse Piece (NTRS-PEACH PINK_Peach & Pink),986,6999,https://m.media-amazon.com/images/I/41FQoO1CodS._AC_UL320_.jpg
Yashika,women's art silk kalamkari and bhagalpuri style saree with blouse piece and soft feel (kora),249,2499,https://m.media-amazon.com/images/I/91HnNBREpPL._AC_UL320_.jpg
