0,1,2,3,4,5,6,7,8,9,10
377,15658,5380,14727,5105,13611,6130,1002,9398,8520,635
378,14924,12997,12887,3463,11515,4046,7075,2640,10123,1854
379,6763,7793,4584,3252,14843,7206,2974,110,13627,14008
380,8502,3228,4281,1611,9818,13921,3039,9755,9151,5066
381,10346,5004,2428,1435,3901,8703,9910,7483,2064,14312
382,11429,2064,10564,2950,1651,10202,3901,8431,2280,4981
383,12761,413,3508,164,2280,2755,1368,4262,9796,10044
384,415,2239,6539,2644,6636,3454,15299,1762,1108,1839
385,1753,948,10307,4690,4322,15160,6858,10254,703,16056
386,128,1503,67,1434,6200,6824,467,1773,14419,232
387,10818,11475,1810,9259,4637,9855,14570,6378,14149,3877
388,3541,8073,3624,4630,15325,6290,7076,13324,8676,16051
389,11169,2668,3581,57,6305,2131,11339,10089,5526,11101
390,1372,10433,2184,2819,2984,366,3836,47,11250,4736
391,10663,8714,4159,16027,6046,14854,13357,9773,14968,7219
392,11457,15571,6202,50,7726,9012,750,3599,9867,15870
393,9073,7396,3182,8639,3028,379,14173,6763,5160,14850
394,435,4739,13243,8885,9761,1459,2051,1513,3664,6737
395,4852,4836,5989,8660,4818,7639,7349,2920,13484,10420
396,521,13464,8587,88,15903,2810,151,837,967,12557
397,261,14748,6158,6313,13791,7840,3966,2572,6910,1362
398,257,10009,13803,6513,8838,6916,13440,13687,2863,14481
399,6139,69,580,8916,12278,8956,15802,1859,2795,1988
400,8560,13902,13370,15477,5511,6128,6266,1134,11103,12540
401,8494,2906,12018,10780,4229,5044,3779,4736,2419,11512
402,3304,8302,3133,7087,2201,11161,1030,14776,2841,1951
403,13917,13219,5924,7101,8584,4735,1416,8579,2473,3799
404,9599,11793,14112,11200,5250,16064,5215,13841,9121,12649
405,9479,14775,13695,8232,933,398,13440,13997,15951,13803
406,13688,10591,6091,6,3655,1922,283,94,433,46
407,16096,14863,9804,3904,8560,3038,13127,11196,6266,2745
408,1290,7077,2936,2400,147,9928,4161,2498,6523,7487
409,14073,14595,4747,14194,480,7473,14285,7162,5310,7091
410,9447,12514,4626,3341,8148,4837,4854,7236,9768,11547
411,6458,4748,3177,85,12704,6673,10746,7463,15320,5305
412,10542,6882,1871,14503,6542,6154,15482,1042,8882,246
413,3508,383,12761,164,2280,1368,2755,4262,9796,10044
414,13625,537,8804,12431,11412,14848,7216,13477,5795,15978
415,6539,1762,2239,5253,384,1108,15299,4506,3454,971
416,1297,5593,10569,13101,10686,36,10324,4810,282,169
417,12309,1604,12513,10624,1540,11810,45,2978,7413,15868
418,4241,9829,7578,246,10893,12203,11355,5520,8393,80
419,2521,14868,883,11919,8174,4848,15585,14135,512,3954
420,9139,11523,475,2022,15507,7551,9128,13457,10801,7269
421,6132,5764,7578,12501,14571,14078,4744,15921,7111,11208
422,12565,11344,3686,3504,15261,12161,2880,12194,3863,2154
423,15577,15076,7798,4454,6417,1779,2919,5360,649,12444
424,7542,1870,14048,9052,4611,2033,11522,7169,4667,3047
425,5521,2684,6833,15708,13055,8977,9836,6878,2689,10308
426,6301,3022,6856,8887,643,3301,3674,12526,12005,5703
427,6462,10476,14775,8134,1486,13643,3345,11143,66,1184
428,14386,10977,5336,788,12136,3471,4579,5364,8658,11675
429,8297,15414,4487,12236,576,2126,11419,3650,6638,8293
430,123,671,11112,668,3008,12828,9082,15652,2690,7012
431,6577,4712,1521,12900,211,8477,949,10980,9654,15764
432,8749,1489,10987,13672,2649,1970,6679,14230,6949,6267
433,283,5769,46,7619,6990,5044,6989,6730,3636,2517
434,9771,9320,2659,9534,3014,13583,11631,14447,6636,2239
435,394,4739,13243,9761,8885,2051,1459,6737,1513,2025
436,3565,7712,6121,4934,15779,1274,8298,2813,1051,10774
437,5418,10213,9180,10083,14574,14609,8015,14523,4133,14892
438,2976,8024,8600,7843,13498,2075,13077,6786,4698,10835
439,206,4415,14428,1148,2705,303,5113,11953,7566,6679
440,11060,3654,15126,9320,2548,6508,12466,581,11631,11564
441,10476,1793,13643,1612,11165,1486,15687,5279,6968,13339
442,12491,6518,8779,7673,8154,14407,3159,4437,12605,10231
443,1247,13761,6494,8939,12827,3199,13112,11942,14933,6669
444,10819,13402,1547,15780,7674,4511,10969,2482,1798,10574
445,7578,745,7220,246,11580,3533,3797,12501,11520,5764
446,481,7793,110,13627,3362,6810,13275,10873,15383,10859
